,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
94,Key Opinion Leader (KOL) Specialist Gaming,Multilateral Global Cahaya,3 weeks ago,26 applicants,Associate,Marketing and Advertising,Full-time,Public Relations,
95,Senior Software Engineer,Sayurbox,4 weeks ago,86 applicants,Mid-Senior level,"['Logistics and Supply Chain', 'Consumer Goods', 'Consumer Services']",Full-time,"['Engineering', 'Information Technology', 'Project Management']",201-500 employees
96,AI Engineer,PT DJARUM,2 weeks ago,Over 200 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,"10,001+ employees"
97,Data Engineer (Data Application Development Team),Jd .Id (Pt Ritel Bersama Nasional),4 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,
98,Senior Network Automation Engineer,Nokia,5 days ago,33 applicants,Not Applicable,"['Information Technology and Services', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
99,Java Software Engineer,CIMB Niaga,4 days ago,94 applicants,Associate,Banking,Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
100,Software Engineer,Schoters,2 months ago,Be among the first 25 applicants,Entry level,"['Higher Education', 'Computer Software', 'Education Management']",Full-time,"['Engineering', 'Information Technology']",
101,Senior Business Intelligence Analyst,Vidio,1 month ago,Be among the first 25 applicants,Mid-Senior level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Business Development', 'Sales']",51-200 employees
102,Senior Strategic Planning Manager,Honeywell,4 weeks ago,92 applicants,Mid-Senior level,"['Electrical/Electronic Manufacturing', 'Mechanical or Industrial Engineering', 'Consumer Goods']",Full-time,"['Business Development', 'Sales']","10,001+ employees"
103,Senior Strategic Account Manager,Shipper,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,Other,
104,Lead Data Engineer,kumparan.com,1 month ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,Information Technology,
105,Data Analyst - Jakarta,KOMPAS GRAMEDIA,4 days ago,Over 200 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Online Media']",Full-time,Information Technology,"10,001+ employees"
106,Senior Business Intelligence Analyst,Vidio,1 month ago,Be among the first 25 applicants,Mid-Senior level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Business Development', 'Sales']",51-200 employees
107,Data Analyst,Talenta Sumber Daya Manusia PT,6 months ago,59 applicants,Entry level,Consumer Services,Full-time,Information Technology,
108,Data Engineer Officer,Fore Coffee,3 weeks ago,82 applicants,Entry level,"['Information Technology and Services', 'Market Research', 'Computer Software']",Full-time,Information Technology,51-200 employees
109,Data Warehouse Engineer - GoPay,Gojek,3 weeks ago,74 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
110,"Analyst (Analytics Operations) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,5 days ago,40 applicants,Mid-Senior level,Internet,Full-time,Other,"1,001-5,000 employees"
111,Senior Android Engineer,HappyFresh,3 months ago,44 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
112,Backend Software Engineer,NOBI,1 day ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
113,Senior Data Engineer,Flip.id,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Financial Services,Full-time,Other,51-200 employees
114,"Design Manager (Bangkok Based, Relocation Provided)",Agoda,4 weeks ago,76 applicants,Mid-Senior level,Internet,Full-time,"['Design', 'Art/Creative', 'Information Technology']","1,001-5,000 employees"
115,Software Engineer,SPIN,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
116,Data Engineer,J-Express,3 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,
117,Software Engineer Lead (Golang),Michael Page,2 months ago,Be among the first 25 applicants,Associate,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,"['Engineering', 'Information Technology']","5,001-10,000 employees"
118,Associate Software Engineer (iOS),DANA Indonesia,17 hours ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
119,Information Security Engineer - Jakarta,Brick,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
120,Data Warehouse Engineer - Merchant Platform,Gojek,2 weeks ago,50 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
121,Senior Associate Data Engineer,NTT Ltd.,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,Information Technology,"10,001+ employees"
122,Software Engineer (Marketing Technology),Traveloka,4 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
123,Senior Pega Business Analyst,PT Anabatic Digital Raya,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']",
124,Lead- Search Engine Optimisation,RAENA,3 weeks ago,Be among the first 25 applicants,Entry level,"['Internet', 'Cosmetics']",Full-time,"['Marketing', 'Sales']",11-50 employees
125,Software Engineer (Online test),PT Five Jack (Itemku),3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
126,Business Analyst,Ninja Van,3 weeks ago,Over 200 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']","501-1,000 employees"
127,Data Warehouse Engineer - GoPay,Go-Jek,3 days ago,Be among the first 25 applicants,Entry level,Hospitality,Full-time,"['Business Development', 'Sales']",
128,Software Engineer Intern,Ninja Van,4 days ago,Be among the first 25 applicants,Internship,Logistics and Supply Chain,Full-time,"['Education', 'Training']","501-1,000 employees"
129,Head of Data Engineer,Michael Page,4 months ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
130,BUSINESS INTELLIGENCE ANALYST - Sayurbox,Sayurbox,1 week ago,85 applicants,Associate,"['Computer Software', 'Internet', 'Consumer Goods']",Full-time,"['Business Development', 'Sales']",201-500 employees
131,Data Scientist,PT Digdaya Duta Digital,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
132,Operation Analyst,PT. Eden Pangan Indonesia (Eden Farm),1 month ago,39 applicants,Associate,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,"['Business Development', 'Sales']",
133,Sr. Procurement and Supplier Development Manager,Pt Amazon Data Srvcs Indonesia,4 days ago,Be among the first 25 applicants,Mid-Senior level,Retail,Full-time,"['Engineering', 'Information Technology']",
134,Sales manager - Food Ingredients - Surabaya,Michael Page,4 months ago,79 applicants,Entry level,"['Mechanical or Industrial Engineering', 'Electrical/Electronic Manufacturing']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
135,Business Analyst,PT.Biomorf Lone Indonesia,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Management Consulting', 'Financial Services']",Full-time,"['Business Development', 'Sales']",51-200 employees
136,Business Analyst,Ralali,18 hours ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
137,CHC Business Analyst,Sanofi,4 weeks ago,Be among the first 25 applicants,Associate,"['Pharmaceuticals', 'Chemicals', 'Biotechnology']",Full-time,"['Business Development', 'Marketing', 'Product Management']","10,001+ employees"
138,Data Analyst and BI Reporting Officer,PT Koltiva,5 days ago,Be among the first 25 applicants,Associate,,Full-time,Information Technology,
139,Product Researcher,Kargo Technologies,4 days ago,Be among the first 25 applicants,Associate,Logistics and Supply Chain,Full-time,Other,
140,Data Engineer,Futuready.com,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
141,"HEAD OF GROWTH | SEO, CLV, CRM - Lamudi",Lamudi,7 hours ago,Be among the first 25 applicants,Director,"['Marketing and Advertising', 'Internet', 'Financial Services']",Full-time,Other,201-500 employees
142,Reporting and Data Analyst,Kanmo Retail Group,4 days ago,Be among the first 25 applicants,Entry level,Retail,Full-time,Information Technology,
143,Data Scientist,PT Digdaya Duta Digital,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
