,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
1234,Data & Business Intelligence Analyst,Erudifi,2 weeks ago,57 applicants,Associate,Financial Services,Full-time,Information Technology,
1235,Software Engineer,Unitek Solusi,3 months ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1236,Data Engineer - Jakarta,PT Pintu Kemana Saja,3 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1237,Assistant Lead of Business Intelligence,Bukit Vista Hospitality Services,3 weeks ago,100 applicants,Mid-Senior level,Hospitality,Full-time,"['Project Management', 'Analyst', 'Accounting/Auditing']",11-50 employees
1238,Product Owner (Business Analyst),Jobs MNC,4 months ago,Be among the first 25 applicants,Director,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Contract,"['Engineering', 'Information Technology']",
1239,Senior Software Engineer,Bitlabs Academy,1 month ago,Be among the first 25 applicants,Associate,"['Online Media', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1240,Lead Data Engineer,99.co,2 months ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
1241,Business Analyst,PT Multipolar Technology Tbk,1 month ago,113 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Business Development', 'Sales']",201-500 employees
1242,Category Development Executive,Nestlé,2 months ago,Over 200 applicants,Not Applicable,"['Consumer Goods', 'Food & Beverages', 'Food Production']",Full-time,"['Sales', 'Business Development']","10,001+ employees"
1243,Business Intelligence,"Indocyber Global Teknologi, PT",1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']","501-1,000 employees"
1244,Information Security Engineer,Brick,1 week ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1245,Portofilo Analyst,PT Link Net Tbk,1 week ago,Over 200 applicants,Mid-Senior level,Telecommunications,Contract,"['Analyst', 'Sales', 'Business Development']","501-1,000 employees"
1246,Senior Software Engineer - Front End,PT Bank Jago Tbk,3 weeks ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1247,Lowongan Software Engineer,PT Lautan Natural Krimerindo,1 week ago,Be among the first 25 applicants,Entry level,"['Farming', 'Ranching']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
1248,Business Analyst,IDN Media,2 months ago,158 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
1249,UX Researcher Intern - Jakarta,Ralali.com - B2B Marketplace,2 weeks ago,Over 200 applicants,Internship,"['Marketing and Advertising', 'Computer Software', 'Internet']",Internship,Information Technology,201-500 employees
1250,"Senior Manager, Marketing Strategy and Analytics (Bangkok-based, relocation provided)",Agoda,4 weeks ago,45 applicants,Associate,Internet,Full-time,"['Marketing', 'Sales']","1,001-5,000 employees"
1251,Business Analyst (Regulatory Reporting),PT Anabatic Digital Raya,4 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']",
1252,iOS Engineer - Yogyakarta,Ruangguru,1 day ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1253,Senior Data Platform Engineer,Sibernetik Integra Data,2 weeks ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1254,Usability Research Engineer (Human Factors),General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
1255,Data Science Curriculum Developer and Instructor - South Jakarta,Hacktiv8 Indonesia,2 weeks ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,"['Education', 'Training']",51-200 employees
1256,Team Leader for Data Analyst and BI Reporting,PT Koltiva,4 days ago,Be among the first 25 applicants,Associate,,Full-time,Information Technology,
1257,Data Scientist,PT Berlian Sistem Informasi,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1258,NSBE 47: Global Product Group (GPG) – Engineering Internship (EXCEL),General Motors,2 days ago,Be among the first 25 applicants,Associate,,Internship,"['Sales', 'Business Development']",
1259,Senior Software Engineer - Virtual Account,Xendit,5 months ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1260,Senior Product Manager - Jakarta,Halodoc ID,1 day ago,Be among the first 25 applicants,Associate,,Full-time,"['Product Management', 'Marketing']",201-500 employees
1261,Head of Data Analyst,ITB Career Center,2 months ago,41 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
1262,CVM Data Scientist,Monroe Consulting Group,1 week ago,49 applicants,Director,Staffing and Recruiting,Full-time,"['Consulting', 'Analyst', 'Information Technology']",51-200 employees
1263,Data Engineering and Insight (Department Head / Section Head),Astra Financial,3 weeks ago,49 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
1264,Data Engineer,PT Solman Manunggal Informatika,4 days ago,47 applicants,Entry level,Information Technology and Services,Contract,Information Technology,51-200 employees
1265,English into Indonesian MTPE long-term Translation Project,Welocalize,4 days ago,53 applicants,Associate,Translation and Localization,Full-time,Writing/Editing,"1,001-5,000 employees"
1266,System Engineer,PT Xsis Mitra Utama,2 months ago,120 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,201-500 employees
1267,Business Analyst,Pt Anak Bangsa Terampil,1 week ago,28 applicants,Associate,E-Learning,Full-time,"['Information Technology', 'Engineering']",
1268,Data Engineer,Accelbyte,3 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,
1269,Lowongan Business Analyst,PT Serba Mulia Auto,3 weeks ago,Be among the first 25 applicants,Associate,Automotive,Full-time,"['Business Development', 'Sales']",
1270,Data Science Intern,9cv9,2 weeks ago,108 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,Other,
1271,Data Engineer,Niagahoster,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Information Technology,
1272,Data Analyst - Fraud,Xendit,2 months ago,Over 200 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,201-500 employees
1273,MS Engineer (L1),NTT Ltd.,3 months ago,105 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
1274,Data Analyst and BI Reporting Officer,PT Koltiva,5 days ago,Be among the first 25 applicants,Associate,,Full-time,Information Technology,
1275,Lowongan Python Developer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",
1276,Data Warehouse Engineer,Traveloka,4 weeks ago,71 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
1277,Sr Executive - Data Science,The Nielsen Company,2 weeks ago,Be among the first 25 applicants,Executive,"['Marketing and Advertising', 'Computer Software', 'Consumer Goods']",Full-time,"['Business Development', 'Sales']",
1278,Key Account Manager,Fluke Corporation,2 weeks ago,67 applicants,Not Applicable,Electrical/Electronic Manufacturing,Full-time,"['Sales', 'Business Development']","1,001-5,000 employees"
1279,Regional Sales Manager (Ethical & OTC)- Pharmaceuticals,Michael Page,3 weeks ago,53 applicants,Mid-Senior level,"['Pharmaceuticals', 'Mental Health Care', 'Medical Devices']",Full-time,"['Sales', 'Business Development']","5,001-10,000 employees"
1280,Software Engineer Mobile (React Native),Codemi,5 months ago,Be among the first 25 applicants,Not Applicable,E-Learning,Full-time,"['Information Technology', 'Engineering']",
1281,Software Engineer Senior,FIS,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
1282,Data Engineer,Niagahoster,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,Information Technology,
1283,Software Engineer Intern (React/React-Native),WellMart.id,1 month ago,66 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Education', 'Training']",
1284,"Senior Analyst (Statistical Analyst) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,4 weeks ago,26 applicants,Associate,Internet,Full-time,Information Technology,"1,001-5,000 employees"
1285,Data Scientist,FNA,7 days ago,63 applicants,Executive,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",11-50 employees
1286,SPS Data Engineer,General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1287,Product Manager,Vidio,3 weeks ago,Over 200 applicants,Mid-Senior level,"['Entertainment', 'Online Media', 'Broadcast Media']",Full-time,Product Management,51-200 employees
1288,Senior DevOps Engineer,Finantier,4 months ago,Be among the first 25 applicants,Director,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Engineering,
1289,"Software Engineer,Backend(Accommodation)",Traveloka,2 months ago,63 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1290,Data & Business Insights Associate,Lazada,2 weeks ago,Over 200 applicants,Associate,Internet,Full-time,"['Analyst', 'Consulting', 'Information Technology']","5,001-10,000 employees"
1291,AVP - Retention Marketing,Raena,1 month ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Marketing', 'Sales']",
1292,Business Analyst (Intern) - MI - Jakarta,"MARKPLUS, INC.",1 month ago,Over 200 applicants,Internship,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Internship,"['Business Development', 'Sales']",201-500 employees
1293,Data Engineer - Bandung,Agate,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Games']",Full-time,Information Technology,
1294,Data Engineer at Shipper,Alter Global,4 days ago,Be among the first 25 applicants,Entry level,Logistics and Supply Chain,Full-time,Information Technology,
1295,Marketing Researcher - Consulting,RGF HR Agent Indonesia,1 month ago,Be among the first 25 applicants,Associate,"['Human Resources', 'Management Consulting']",Full-time,"['Marketing', 'Sales']",
1296,Software Engineer - Front End,DKATALIS (Digital Katalis),3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1297,"Junior Analyst, Business Intelligence",Snaphunt,1 month ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Business Development', 'Sales']",
1298,Data Analyst - Jakarta,Payfazz (PT. Payfazz Teknologi Nusantara),1 day ago,60 applicants,Entry level,"['Internet', 'Banking', 'Financial Services']",Full-time,Information Technology,
1299,Data Analytics,CIMB Niaga,1 week ago,Over 200 applicants,Mid-Senior level,Banking,Full-time,"['Analyst', 'Project Management', 'Information Technology']","10,001+ employees"
1300,Data Engineer (Kasir Pintar - Surabaya),Payfazz (PT. Payfazz Teknologi Nusantara),1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1301,Senior Software Engineer,Sinbad,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",51-200 employees
1302,Software Engineer,Sinbad,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
1303,Product Management Intern,Fabelio,4 days ago,Over 200 applicants,Internship,Furniture,Internship,Other,201-500 employees
1304,Senior ETL Engineer,PT. Electronic Data Interchange Indonesia (Subsidiary of Pelabuhan Indonesia II - IPC),4 months ago,Be among the first 25 applicants,Director,Computer Software,Full-time,Information Technology,
1305,Business Analyst (Operations),FinAccel,6 days ago,74 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Business Development', 'Sales']",51-200 employees
1306,Credit Risk Analyst,Aspire,1 month ago,Over 200 applicants,Associate,"['Financial Services', 'Internet']",Full-time,"['Finance', 'Sales']",51-200 employees
1307,Investment Associate,Rukita,19 hours ago,Be among the first 25 applicants,Entry level,"['Internet', 'Financial Services', 'Real Estate']",Full-time,"['Finance', 'Sales']",
1308,Back-end Software engineer,Odd Concepts,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1309,Lowongan Senior Data Scientist,PT. Mega Central Finance,2 weeks ago,Be among the first 25 applicants,Associate,"['Banking', 'Financial Services']",Full-time,Other,"1,001-5,000 employees"
1310,Lowongan Digital Marketing Optimizer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Marketing', 'Sales']",
1311,Business Data Analyst,Agilon Health,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,Information Technology,
1312,Data Engineer,OrderOnline.id,6 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1313,Data Engineer at Shipper,Alter Global,4 days ago,Be among the first 25 applicants,Entry level,Logistics and Supply Chain,Full-time,Information Technology,
1314,Senior Environmental Specialist,Hatfield Consultants,4 days ago,Be among the first 25 applicants,Associate,Marketing and Advertising,Full-time,Other,
1315,User Experience Researcher,SHAREit Technology,3 weeks ago,Over 200 applicants,Associate,"['Internet', 'Management Consulting']",Full-time,Analyst,"501-1,000 employees"
1316,Managed Services Engineer,NTT Ltd.,5 months ago,55 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
1317,Data Warehouse Engineer - Merchant Platform,Go-Jek,19 hours ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,"['Business Development', 'Sales']",
1318,Lowongan React JS Developer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",
1319,Waliku MEAL & Data Science Consultant LEARNING NEVER STOPS,Save The Children,2 days ago,Be among the first 25 applicants,Associate,Hospitality,Full-time,Information Technology,
1320,Senior Business Analyst,Grab,1 month ago,78 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Strategy/Planning', 'Consulting', 'Information Technology']","5,001-10,000 employees"
1321,Senior Product Researcher,Ruangguru.com,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Other,
1322,Full Stack Web Developer,82Cart,9 hours ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,,
1323,"Presales Support Data Scientist - PT. Metrodata Electronics, Tbk",PT. Metrodata Electronics Tbk.,8 hours ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Networking']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1324,Account Manager - Depok,RGF,1 week ago,Be among the first 25 applicants,Entry level,"['Automotive', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",
1325,Java Software Engineer,Avows Technologies,1 week ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Contract,"['Engineering', 'Information Technology']",201-500 employees
1326,Data Engineer (Remote),TreeDots,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1327,EOI - Superintendent Technical Services - Melak,CIMIC Group,3 days ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Mining & Metals', 'Oil & Energy']",Full-time,"['Engineering', 'Information Technology']",
1328,Backend Engineer / Data Engineer,Delman.io,3 weeks ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1329,Software Engineer (BackEnd),Datacell Infomedia PT,5 months ago,Be among the first 25 applicants,Entry level,"['Computer Hardware', 'Computer Software', 'Computer Networking']",Full-time,"['Engineering', 'Information Technology']",
1330,Digital Analyst,The Body Shop Indonesia,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Consumer Goods']",Full-time,Other,"1,001-5,000 employees"
1331,Commissioning Engineer,Amazon,6 days ago,141 applicants,Not Applicable,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,"['Information Technology', 'Consulting', 'Engineering']","10,001+ employees"
1332,"Data Engineer, Financial Services",Traveloka,2 weeks ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
1333,Machine Learning Engineer - Merchant Platform,Gojek,3 weeks ago,98 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1334,Data Scientist Intern,Mekari (PT. Mid Solusi Nusantara),2 weeks ago,91 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Engineering', 'Information Technology']",
1335,UX Researcher Internship,Kiddo.id,4 days ago,70 applicants,Not Applicable,Internet,Internship,Information Technology,
1336,MS Engineer (L2),NTT Ltd.,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
1337,Lowongan Data Analyst,PT Nityo Infotech,4 days ago,30 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,
1338,Senior Data Engineer,Pt SehatQ Harsana Emedika,4 weeks ago,Be among the first 25 applicants,Director,"Health, Wellness and Fitness",Full-time,Engineering,
1339,Lowongan UI/UX Designer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,Other,
1340,Senior Machine Learning Engineer,DKATALIS (Digital Katalis),4 days ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1341,Data Engineer,OrderOnline.id,6 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
1342,"Software Engineer in Test, Secure:Static Analysis",GitLab,1 week ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1343,Software Engineer - Android,GudangAda,3 days ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1344,"Business Analyst, GoSend Web Portal",Go-Jek,4 days ago,Be among the first 25 applicants,Associate,Marketing and Advertising,Full-time,"['Business Development', 'Sales']",
1345,Jr.Data Analyst,Home Credit Indonesia,7 days ago,Over 200 applicants,Mid-Senior level,Financial Services,Full-time,Analyst,"10,001+ employees"
1346,Lowongan Maximo Consultant,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Consulting', 'Information Technology', 'Sales']",
1347,Sales Performance Specialist,Lamudi.Co.Id,4 days ago,Be among the first 25 applicants,Entry level,Consumer Goods,Full-time,Human Resources,
1348,Data Scientist (English CV only),Data Arts Xperience,5 days ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1349,Software Engineer Intern,Advotics,4 weeks ago,Be among the first 25 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Education', 'Training']",
1350,Software Engineer Intern,OKANEMO,4 months ago,113 applicants,Not Applicable,Information Technology and Services,Internship,"['Information Technology', 'Engineering']",
1351,SUBSEA PRODUCTION CONTROL SYSTEM ENGINEER,Dovre Group,4 weeks ago,Be among the first 25 applicants,Entry level,Mechanical or Industrial Engineering,Full-time,"['Engineering', 'Information Technology']",
1352,Lowongan Product Specialist,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Sales', 'Business Development']",
1353,Software Developer / Software Engineer,Hacktiv8,6 days ago,Be among the first 25 applicants,Mid-Senior level,Education Management,Full-time,Other,
1354,System Engineer,PT Astra Graphia Information Technology,1 month ago,28 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,
1355,Full-Stack Software Engineer / Developer / Programmer,Caseuphoria.com (cv Juanda Jfk Djaja),3 weeks ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1356,Sales Manager - BMH,Thermo Fisher Scientific,2 weeks ago,48 applicants,Not Applicable,"['Pharmaceuticals', 'Biotechnology']",Full-time,Sales,"10,001+ employees"
1357,[BETA] Data Engineer,Traveloka,3 months ago,45 applicants,Not Applicable,Internet,Full-time,Information Technology,"1,001-5,000 employees"
1358,Software Engineer - Backend (Accommodation Supply),Traveloka,4 days ago,Be among the first 25 applicants,Entry level,"Leisure, Travel & Tourism",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
1359,Data Scientist - Risk Modelling Specialist,Cermati.com,3 weeks ago,48 applicants,Associate,"['Information Technology and Services', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1360,"Senior Software Engineer, Merchant Payment",Gojek,2 weeks ago,37 applicants,Mid-Senior level,"['Internet', 'Computer Software', 'Information Technology and Services']",Full-time,"['Engineering', 'Information Technology', 'Other']","1,001-5,000 employees"
1361,Trade Compliance Operations Senior Analyst,Cargill,1 week ago,29 applicants,Associate,"['Chemicals', 'Food & Beverages', 'Food Production']",Full-time,Other,"10,001+ employees"
1362,Business Intelligence Developer,Pt Kamoro Maxima Integra,3 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Business Development', 'Sales']",
1363,Business Analyst,Alterra Indonesia,3 months ago,Over 200 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,"['Business Development', 'Sales']",201-500 employees
1364,Big Data Analyst,Snaphunt,1 month ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Other,
1365,Senior Data Engineer,SehatQ,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1366,Service Manager - Jakarta,"8x8, Inc",2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Customer Service', 'Information Technology']",
1367,Sr. Data Analyst,Alodokter,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1368,Data Platform Intern,tiket.com,3 weeks ago,Over 200 applicants,Internship,"['Information Technology and Services', 'Internet', 'Computer Software']",Internship,"['Information Technology', 'Analyst']","501-1,000 employees"
1369,Lowongan Data Analyst,PT Nityo Infotech,4 days ago,30 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,
1370,Software Engineer,EMEW Labs Pte.Ltd Singapore,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1371,Strategic Presales,PT. Metrodata Electronics Tbk.,8 hours ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Networking']",Full-time,"['Sales', 'Business Development']","1,001-5,000 employees"
1372,Software Engineer (NodeJS or PHP or Python or Golang or .NET),AppLabx Pte. Ltd,22 hours ago,Be among the first 25 applicants,Not Applicable,Alternative Dispute Resolution,Full-time,"['Information Technology', 'Engineering']",
1373,Data Analyst / BI - Fintech,Michael Page,2 months ago,99 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
1374,Senior Data Scientist | Pinjam Modal,PT BFI Finance Indonesia Tbk,3 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Other,
1375,Software Development Engineer Lead (KOMPAS.ID),KOMPAS GRAMEDIA,1 day ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Information Technology and Services', 'Online Media']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
1376,Senior Software Engineer - Front End,DKATALIS (Digital Katalis),3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
1377,Data Scientist,PT. Prima Vista Solusi,1 month ago,35 applicants,Entry level,"['Marketing and Advertising', 'Research', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
1378,Data Analyst,Agate International,1 month ago,129 applicants,Entry level,"['Publishing', 'Printing']",Full-time,Information Technology,51-200 employees
1379,Data Platform DevOps Engineer,Shopee,4 months ago,133 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,Other,"5,001-10,000 employees"
1380,Lowongan Siebel Integration,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Project Management', 'Information Technology']",
1381,DATA ENGINEER,Refactory.id,3 weeks ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
1382,"Analyst (Analytics Operations) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,5 days ago,40 applicants,Mid-Senior level,Internet,Full-time,Other,"1,001-5,000 employees"
1383,Data Scientist Intern - Jakarta,Mekari (PT. Mid Solusi Nusantara),4 days ago,Be among the first 25 applicants,Internship,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1384,PHP Laravel 6++ Software Engineer,Bridge Note Indonesia,3 months ago,Be among the first 25 applicants,Mid-Senior level,Financial Services,Full-time,"['Information Technology', 'Engineering']",
1385,Data Engineer (Kasir Pintar - Surabaya),Payfazz (PT. Payfazz Teknologi Nusantara),1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1386,NSBE 47: Global Product Group (GPG) – Rotational Entry Level Engineer (TRACK),General Motors,2 days ago,Be among the first 25 applicants,Not Applicable,,Full-time,Other,
1387,Accounting officer,Mahakarya Geo Survey,3 weeks ago,Over 200 applicants,Mid-Senior level,Oil & Energy,Full-time,"['Finance', 'Sales']",
1388,Data Engineer - Jakarta,Snaphunt,1 month ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,
1389,Management Trainee (Remote),Kulina,4 days ago,Over 200 applicants,Internship,"['Market Research', 'Research', 'Financial Services']",Full-time,"['Education', 'Training']",51-200 employees
1390,Software Engineer,Sinbad,16 hours ago,Be among the first 25 applicants,Entry level,Information Technology and Services,Full-time,"['Engineering', 'Information Technology']",51-200 employees
1391,Senior Software Engineer,Shipper,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Internet,Full-time,Other,
1392,Software Engineer (Online test) - Jakarta,PT Five Jack (Itemku),4 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
1393,Management Trainee (Remote),Kulina,4 weeks ago,Over 200 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Education', 'Training']",51-200 employees
