Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
448,Data Engineer (Urgently Hiring!),Xfers,Posted 1 month ago,29 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
449,Data Scientist,Ruangguru.com,Posted 1 month ago,108 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
450,Data Engineer - Jakarta,iSeller,Posted 5 days ago,6 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
451,Data Scientist,Ruangguru.com,Posted 1 month ago,63 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
452,Data Engineer - Jakarta,NuWorq,Posted 5 days ago,3 applicants,,Entry level,Full-time,Information Technology,
453,Data Engineer Consultant,MSBU,Posted 2 weeks ago,4 applicants,,Associate,Full-time,"['Information Technology', 'Engineering']",Information Technology & Services
454,Data Engineer - Jakarta,Bibit,Posted 2 days ago,5 applicants,,Entry level,Full-time,Information Technology,
455,Data Engineer,iSeller,Posted 3 weeks ago,15 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
456,Data Engineer,Ellen May Institute,Posted 1 month ago,6 applicants,,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Online Media', 'Internet']"
457,Data Engineer - Jakarta,PT Koltiva,Posted 5 days ago,2 applicants,,Entry level,Full-time,Information Technology,
458,Data Engineer,Bibit,Posted 4 weeks ago,6 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
459,Data Engineer,Gramedia e-Perpust,Posted 3 weeks ago,7 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
460,Data & Analytics Consultant,EY,Posted 1 day ago,11 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Luxury Goods & Jewelry', 'Information Technology & Services']"
461,Data Engineer,NuWorq,Posted 1 week ago,2 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Banking', 'Financial Services']"
462,Data Engineer,PT. Astra Welab Digital Arta,Posted 3 weeks ago,17 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Banking', 'Financial Services']"
