Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
1236,Sales manager - Food ingredient,Michael Page,Posted 6 days ago,7 applicants,"5,001-10,000 employees",Entry level,Full-time,"['Sales', 'Business Development']","['Mechanical Or Industrial Engineering', 'Electrical & Electronic Manufacturing']"
1237,"Design Manager (Bangkok Based, Relocation Provided)",Agoda,Posted 4 weeks ago,82 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Design', 'Art/Creative', 'Information Technology']",Internet
1238,People Technology Senior Specialist / Specialist (Bangkok Based),Agoda,Posted 1 week ago,26 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,Information Technology,Internet
1239,Business Development Manager – Beds Network (Based in Bali),Agoda,Posted 4 weeks ago,340 applicants,"1,001-5,000 employees",Mid-Senior level,Full-time,"['Sales', 'Business Development']",Internet
1240,Data Analyst,Ruangguru.com,Posted 1 month ago,189 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1241,Regional Sales Manager (Ethical & OTC)- Pharmaceuticals,Michael Page,Posted 2 weeks ago,54 applicants,"5,001-10,000 employees",Mid-Senior level,Full-time,"['Sales', 'Business Development']","['Pharmaceuticals', 'Mental Health Care', 'Medical Device']"
1242,"Senior Business Analyst – Partner Programs (Bangkok based, relocation provided)",Agoda,Posted 4 weeks ago,72 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']",Internet
1243,Business Intelligence Developer,Pt Kamoro Maxima Integra,Posted 4 days ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Warehousing
1244,Finance Manager - Healthcare in Balikpapan,Michael Page,Posted 1 month ago,5 applicants,"5,001-10,000 employees",Associate,Full-time,"['Finance', 'Sales']","['Pharmaceuticals', 'Mental Health Care', 'Medical Device']"
1245,"Senior Manager, Marketing Strategy and Analytics (Bangkok-based, relocation provided)",Agoda,Posted 4 weeks ago,47 applicants,"1,001-5,000 employees",Associate,Full-time,"['Marketing', 'Sales']",Internet
1246,National Sales Manager - Pharmaceutical (Ethical Products),Michael Page,Posted 1 month ago,106 applicants,"5,001-10,000 employees",Mid-Senior level,Full-time,"['Sales', 'Business Development']","['Pharmaceuticals', 'Mental Health Care', 'Medical Device']"
1247,Sales Manager - printing and packaging company,Michael Page,Posted 5 months ago,44 applicants,"5,001-10,000 employees",Entry level,Full-time,"['Sales', 'Business Development']","['Mechanical Or Industrial Engineering', 'Electrical & Electronic Manufacturing']"
1248,Sales manager - Food Ingredients - Surabaya,Michael Page,Posted 3 months ago,80 applicants,"5,001-10,000 employees",Entry level,Full-time,"['Sales', 'Business Development']","['Mechanical Or Industrial Engineering', 'Electrical & Electronic Manufacturing']"
1249,Junior Business Intelligence Analyst - Merchant Platform,Go-Jek,Posted 5 days ago,1 applicant,,Associate,Full-time,"['Business Development', 'Sales']",Marketing & Advertising
1250,Data (BI) Lead - South Jakarta,ULA,Posted 2 weeks ago,4 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1251,Data & Analitycs Engineering,Jobs MNC,Posted 3 months ago,13 applicants,,Entry level,Contract,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
1252,Data Visualization Specialist - Jakarta,Snaphunt,Posted 1 month ago,0 applicants,,Entry level,Full-time,Information Technology,"['Computer Software', 'Internet', 'Financial Services']"
1253,Business Intelligence Consultant (Tableau),Pt Metrodata Electronics Tbk,Posted 5 days ago,1 applicant,,Associate,Full-time,"['Business Development', 'Sales']",Warehousing
1254,IT Data Analyst Consultant,MSBU,Posted 8 hours ago,3 applicants,,,Full-time,Information Technology,Information Technology & Services
1255,Business Intelligence Consultant (Tableau),"PT Metrodata Electronics, Tbk",Posted 2 weeks ago,18 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Electrical & Electronic Manufacturing', 'Information Technology & Services', 'Computer Software']"
1256,ITAPD - Programmer - ETL,Pt Bank Mandiri (Persero) Tbk.,Posted 5 days ago,1 applicant,,Entry level,Full-time,"['Engineering', 'Information Technology']",Warehousing
1257,Data Specialist,Reeracoen Indonesia,Posted 1 day ago,0 applicants,,Entry level,Full-time,Information Technology,Hospital & Health Care
1258,Business Intelligence Developer,PT Astra Graphia Information Technology,Posted 1 month ago,9 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Information Technology & Services
1259,Business Intelligence Lead,Flip,Posted 5 days ago,5 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1260,Data & Tech Support Staff,Halodoc ID,Posted 1 week ago,34 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1261,Business Intelligence Developer,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,Posted 3 months ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Telecommunications']"
1262,Marketing Analytics Specialist - Business Intelligence,Mekari (Pt. Mid Solusi Nusantara),Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Marketing', 'Sales']",Hospitality
1263,Sr. Business Intelligence,Kitabisa.com,Posted 1 week ago,18 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1264,Global Strategy Insights and Analytics Analyst,General Motors,Posted 3 days ago,1 applicant,,Entry level,Full-time,Other,
1265,AI Engineer,KoinWorks,Posted 1 month ago,31 applicants,,Entry level,Full-time,Other,"['Information Technology & Services', 'Banking', 'Financial Services']"
1266,Lowongan Python Developer,PT Nityo Infotech,Posted 5 days ago,3 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1267,Data Engineering Lecturer,Purwadhika Digital Technology School,Posted 2 weeks ago,4 applicants,,,Contract,Information Technology,Education Management
1268,Marketing Analytics (Intern),Go-Jek,Posted 5 days ago,7 applicants,,Internship,Full-time,"['Education', 'Training']",Warehousing
1269,System Analyst (Project Based),PT Nusantara Compnet Integrator,Posted 3 weeks ago,20 applicants,,Associate,Full-time,"['Information Technology', 'Engineering']",Information Technology & Services
1270,Senior Business Intelligence,Soyaka AI,Posted 1 month ago,0 applicants,,,Full-time,Information Technology,Internet
1271,System Analyst - Tangerang,TurnkeyID,Posted 19 hours ago,7 applicants,,Entry level,Full-time,Information Technology,
1272,Product Analyst,PT Multidaya Teknologi Nusantara,Posted 3 weeks ago,26 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Management Consulting
1273,Business Intelligence Lead,Flip,Posted 2 weeks ago,6 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1274,Lowongan ETL Engineer,PT Nityo Infotech,Posted 5 days ago,1 applicant,,Entry level,Full-time,"['Business Development', 'Sales']",Information Technology & Services
1275,Marketing Analytics Specialist - Performance,Mekari (Pt. Mid Solusi Nusantara),Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Marketing', 'Sales']",Hospitality
1276,Lowongan Developer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1277,Product Support Consultant,MSBU,Posted 6 days ago,1 applicant,,Associate,Full-time,Consulting,Information Technology & Services
1278,Sales Analyst,PT FRUTERS INDONESIA PERKASA,Posted 6 days ago,16 applicants,,Entry level,Contract,Marketing,Food & Beverages
1279,Lowongan Middleware Developer,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1280,Sr. Business Intelligence,PT WHIM Management Indonesia (Evos E-sports),Posted 1 month ago,8 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Computer Software', 'Internet']"
1281,IT Consultant Talent Hunter Internship,MSBU,Posted 1 week ago,10 applicants,,,Internship,Human Resources,Information Technology & Services
1282,Associate Product Collection Consultant,MSBU,Posted 6 days ago,4 applicants,,Associate,Full-time,Consulting,Information Technology & Services
1283,Lowongan DevOps,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,Other,Information Technology & Services
1284,CEO Office/PMO Intern,Mekari (PT. Mid Solusi Nusantara),Posted 1 month ago,39 applicants,,Executive,Internship,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1285,Data Engineering Consultant,Avalon Solutions,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Engineering', 'Information Technology']",Warehousing
1286,Business Development Associate - Jakarta,RuKita,Posted 2 days ago,26 applicants,,Entry level,Full-time,"['Business Development', 'Sales']",
1287,"Business Development Lead, - Digital Intelligence - APAC",The Nielsen Company,Posted 1 week ago,20 applicants,,Director,Full-time,"['Sales', 'Business Development']","['Marketing & Advertising', 'Computer Software', 'Consumer Goods']"
1288,Mobile Developer Consultant,MSBU,Posted 1 month ago,0 applicants,,Mid-Senior level,Full-time,"['Information Technology', 'Engineering']",Information Technology & Services
1289,Software Quality Assurance (SQA) Consultant,MSBU,Posted 2 weeks ago,26 applicants,,Associate,Full-time,Quality Assurance,Information Technology & Services
1290,Digital Talent Program,Sinarmas Agribusiness and Food,Posted 1 month ago,89 applicants,,Entry level,Full-time,"['Design', 'Art/Creative', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Research']"
1291,SSRS and Power BI Developer,Meratus Line & Group,Posted 1 month ago,6 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Logistics & Supply Chain
1292,Lowongan Microstrategy,PT Nityo Infotech,Posted 5 days ago,1 applicant,,,Full-time,Other,Information Technology & Services
1293,Management Trainee (Remote),Kulina,Posted 1 month ago,255 applicants,,Internship,Full-time,"['Education', 'Training']","['Information Technology & Services', 'Computer Software', 'Internet']"
1294,Business Development Representative,Denodo,Posted 1 month ago,0 applicants,,Entry level,Full-time,"['Sales', 'Business Development']","['Information Technology & Services', 'Computer Software', 'Internet']"
1295,Lowongan Front End Developer,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1296,Content Creator,Jakmall.com,Posted 2 weeks ago,36 applicants,,Associate,Full-time,Other,Internet
1297,Key Operations Associate,Rara Delivery,Posted 2 weeks ago,55 applicants,,Associate,Full-time,"['Project Management', 'Information Technology']",Logistics & Supply Chain
1298,Project Manager (non-tech),Rata,Posted 3 weeks ago,50 applicants,,Entry level,Full-time,"['Project Management', 'Information Technology']","['Marketing & Advertising', 'Retail', 'Hospital & Health Care']"
1299,Credit Risk Analyst,Alune Aqua,Posted 2 weeks ago,93 applicants,,Associate,Full-time,"['Finance', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
1300,Lowongan Product Specialist,PT Nityo Infotech,Posted 5 days ago,1 applicant,,Associate,Full-time,"['Sales', 'Business Development']",Information Technology & Services
1301,Head of Report Analyst,Qsi Recruitment,Posted 4 days ago,0 applicants,,Associate,Full-time,Information Technology,Warehousing
1302,"Business Development Lead, - Digital Intelligence - APAC",The Nielsen Company,Posted 4 days ago,1 applicant,,Associate,Full-time,"['Sales', 'Business Development']",Hospitality
1303,Business Development Specialist,Pacmann Ai,Posted 4 days ago,7 applicants,,Mid-Senior level,Full-time,Business Development,Information Technology & Services
1304,Continuous Improvement Process Lead,General Motors,Posted 3 days ago,14 applicants,,Associate,Full-time,"['Management', 'Manufacturing']",
1305,Content Creator,PT Jakarta Digital Nusantara,Posted 2 weeks ago,18 applicants,,Associate,Full-time,Other,Retail
1306,Digital CRM Specialist - Jakarta,Bibit,Posted 5 days ago,4 applicants,,Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",
1307,Debt Collector - Jakarta,movus technologies,Posted 5 days ago,13 applicants,,Entry level,Full-time,"['Accounting/Auditing', 'Finance']",
1308,ERP Implementation Consultant - Jakarta,SYSPRO Canada,Posted 19 hours ago,10 applicants,,Associate,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
1309,Account Manager,PT Global Industri Teknologi Solusi,Posted 6 days ago,5 applicants,,Entry level,Full-time,"['Sales', 'Business Development']",Information Technology & Services
1310,[BETA] Analyst - Merchant Growth,Moka,Posted 4 months ago,10 applicants,,Associate,Full-time,Information Technology,Computer Software
1311,Digital CRM Specialist,Bibit,Posted 1 week ago,5 applicants,,Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
1312,Fullstack - Enterprise Engineer,Ruangguru.com,Posted 1 month ago,3 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1313,Head of Growth,Youtap Indonesia,Posted 1 month ago,67 applicants,,Director,Full-time,Other,"['Information Technology & Services', 'Internet', 'Financial Services']"
1314,Product Manager,Jamtangan.com,Posted 5 hours ago,3 applicants,,Entry level,Full-time,"['Product Management', 'Marketing']",
1315,Lowongan NodeJS Developer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1316,Digital Banking Product Owner,Jobs MNC,Posted 3 months ago,54 applicants,,Director,Contract,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Information Technology & Services', 'Computer Software']"
1317,Product Owner - DOOfit - Jakarta,Doogether,Posted 2 days ago,9 applicants,,Director,Full-time,"['Engineering', 'Information Technology']","['Computer Software', 'Internet', 'Financial Services']"
1318,Lowongan Penetration Tester,PT Nityo Infotech,Posted 5 days ago,6 applicants,,Entry level,Full-time,Other,Information Technology & Services
1319,Golang Developer Consultant,MSBU,Posted 1 week ago,0 applicants,,Mid-Senior level,Full-time,Consulting,Information Technology & Services
1320,Content Creator,PT. Jakarta Notebook,Posted 1 month ago,22 applicants,,Entry level,Full-time,Other,"['Marketing & Advertising', 'Online Media', 'Financial Services']"
1321,Customer Champion,NOBI,Posted 2 days ago,9 applicants,,Entry level,Full-time,"['Customer Service', 'Information Technology']",
1322,Integrations Developer - Salesforce - APAC-based,Agiloft,Posted 1 month ago,0 applicants,,Associate,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Information Services']"
1323,Search Engine Optimisation Lead,Raena,Posted 1 month ago,7 applicants,,Entry level,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Computer Software', 'Internet']"
1324,Head of Data - Jakarta,ndigital,Posted 1 week ago,4 applicants,,Director,Full-time,"['Project Management', 'Information Technology']","['Computer Software', 'Internet', 'Financial Services']"
1325,Backend Developer,Widatech,Posted 2 months ago,16 applicants,,,Full-time,"['Information Technology', 'Engineering']","['Information Technology & Services', 'Computer Software', 'Internet']"
1326,Lowongan QA Engineer,PT Nityo Infotech,Posted 5 days ago,3 applicants,,Entry level,Full-time,Quality Assurance,Information Technology & Services
1327,SAP FI QA Consultant,MSBU,Posted 4 days ago,2 applicants,,Mid-Senior level,Full-time,Consulting,Information Technology & Services
1328,Lowongan React JS Developer,PT Nityo Infotech,Posted 5 days ago,1 applicant,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1329,Marketing Intern,Pt Qourier Kartika Adhiperkasa,Posted 3 weeks ago,120 applicants,,,Internship,"['Education', 'Training']",Information Technology & Services
1330,Business Development Representative,Denodo Technologies,Posted 2 weeks ago,6 applicants,,Entry level,Full-time,"['Sales', 'Business Development']","['Information Technology & Services', 'Computer Software', 'Internet']"
1331,PHP Developer Consultant,MSBU,Posted 1 month ago,7 applicants,,Mid-Senior level,Full-time,Engineering,Information Technology & Services
1332,Analytics Manager,Qsi Recruitment,Posted 4 days ago,1 applicant,,Mid-Senior level,Full-time,"['Business Development', 'Sales']",Warehousing
1333,Lead- Search Engine Optimisation - Jakarta,Raena,Posted 1 month ago,1 applicant,,Entry level,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Computer Software', 'Internet']"
1334,Qlik Consultant,Mitra Integrasi Informatika,Posted 4 days ago,0 applicants,,Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",Warehousing
1335,Project Management Officer,Qasir,Posted 1 month ago,39 applicants,,Mid-Senior level,Full-time,"['Project Management', 'Information Technology']","['Marketing & Advertising', 'Online Media', 'Internet']"
1336,Lowongan Golang Developer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1337,Fullstack - Enterprise Engineer,Ruangguru.com,Posted 1 month ago,7 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1338,Product Owner - DOOfit,DOOgether,Posted 4 weeks ago,10 applicants,,Director,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Online Media', 'Internet']"
1339,Asset Management System Monitoring Specialist,PT BFI Finance Indonesia Tbk,Posted 1 month ago,45 applicants,,Associate,Full-time,"['Finance', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1340,Lowongan Oracle EBS Consultant,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Associate,Full-time,Information Technology,Information Technology & Services
1341,CEO Office,The Conversion,Posted 2 weeks ago,34 applicants,,Executive,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Online Media', 'Internet']"
1342,Lowongan React Native Developer,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1343,"Search Specialist, Media Operations",Google,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Marketing', 'Sales']",Consumer Goods
1344,Lowongan Technical Writer,PT Nityo Infotech,Posted 5 days ago,16 applicants,,Associate,Full-time,"['Marketing', 'Public Relations', 'Writing/Editing']",Information Technology & Services
1345,Sales Marketing Manager,cahaya pacific cargo,Posted 2 hours ago,3 applicants,,Mid-Senior level,Full-time,"['Sales', 'Business Development']",
1346,Full Stack Developer (.NET) Consultant,MSBU,Posted 2 months ago,6 applicants,,Associate,Full-time,Consulting,Information Technology & Services
1347,Lowongan Maximo Consultant,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Associate,Full-time,"['Consulting', 'Information Technology', 'Sales']",Information Technology & Services
1348,Strategy & Planning Manager - Business Development,Kodi (PT. Demokrasi Ekonomi Nusantara),Posted 3 weeks ago,19 applicants,,Associate,Full-time,Business Development,Computer Software
1349,Head of Growth,Youtap Indonesia,Posted 1 month ago,15 applicants,,Director,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
1350,Search Engine Optimisation Lead - Jakarta,Snaphunt,Posted 1 month ago,1 applicant,,Entry level,Full-time,"['Marketing', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
1351,Senior Environmental Specialist,Hatfield Consultants,Posted 5 days ago,5 applicants,,Associate,Full-time,Other,Marketing & Advertising
1352,Workday HCM - Central Jakarta,Alight,Posted 1 month ago,0 applicants,,,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Management Consulting']"
1353,Lowongan Siebel Integration,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Entry level,Full-time,"['Project Management', 'Information Technology']",Information Technology & Services
1354,Legal & Compliance Specialist - Depok,Flip,Posted 2 days ago,27 applicants,,Entry level,Full-time,Legal,"['Information Technology & Services', 'Computer Software', 'Internet']"
1355,Customer Success Manager - Jakarta,iSeller,Posted 5 days ago,11 applicants,,Associate,Contract,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Internet']"
1356,Talend ETL Developer,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,Posted 1 month ago,4 applicants,,Entry level,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Telecommunications']"
1357,Community Development,Diacon Technologies,Posted 1 month ago,20 applicants,,Entry level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
1358,Project Information Lead,Dovre Group,Posted 1 week ago,0 applicants,,Associate,Contract,Other,"['Construction', 'Mechanical Or Industrial Engineering', 'Oil & Energy']"
1359,Project Leader - Boston Consulting Group,Boston Consulting Group,Posted 2 weeks ago,19 applicants,,Associate,Full-time,"['Project Management', 'Information Technology']","['Information Technology & Services', 'Management Consulting', 'Financial Services']"
1360,Marketing Intelligence Section Head,Bina Nusantara Group,Posted 1 month ago,8 applicants,,Director,Full-time,"['Marketing', 'Sales']","['Information Technology & Services', 'Higher Education', 'Education Management']"
1361,Lowongan Account Manager (Enterprise),PT JAC Indonesia,Posted 4 days ago,4 applicants,,Entry level,Full-time,"['Sales', 'Business Development']",Management Consulting
1362,Fullstack - Enterprise Engineer,Ruangguru.com,Posted 1 month ago,4 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1363,Lowongan Sales and Business Development,PT Nityo Infotech,Posted 5 days ago,3 applicants,,Entry level,Full-time,"['Sales', 'Business Development']",Information Technology & Services
1364,RPA Developer,PT IDStar Cipta Teknologi,Posted 3 months ago,26 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Management Consulting']"
1365,Regional Senior Business Intelligence Developer,Intrepid Group,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Warehousing
1366,[BETA] Product Designer,Moka,Posted 4 months ago,37 applicants,,Associate,Full-time,"['Design', 'Art/Creative', 'Information Technology']",Computer Software
1367,Indonesian into English - Patent translations (IT) Remote - Freelancer,Park IP Translations,Posted 2 weeks ago,23 applicants,,Entry level,Full-time,Information Technology,
1368,Fullstack - Enterprise Engineer,Ruangguru.com,Posted 1 month ago,5 applicants,,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
1369,Front-End Software Developer (Web Developer),Sasana Digital,Posted 3 months ago,9 applicants,,Mid-Senior level,Full-time,"['Information Technology', 'Engineering']",Management Consulting
1370,Product Manager - Jakarta,Pintek,Posted 5 days ago,3 applicants,,Entry level,Full-time,"['Product Management', 'Marketing']",
1371,Specialist - Business Development - Indonesia,AICPA,Posted 2 weeks ago,38 applicants,,Associate,Full-time,"['Business Development', 'Sales']",
1372,IT Project Manager,Sibernetik Integra Data,Posted 2 weeks ago,47 applicants,,,Full-time,"['Information Technology', 'Engineering']",Information Technology & Services
1373,Enterprise Account Manager (Telco),Nutanix,Posted 3 days ago,0 applicants,,Associate,Full-time,"['Sales', 'Business Development']",Consumer Goods
1374,Lowongan UI/UX Designer,PT Nityo Infotech,Posted 5 days ago,26 applicants,,,Full-time,Other,Information Technology & Services
1375,Lowongan Java Developer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1376,Senior Officer,Pt Lf Beauty Manufacturing Indonesia,Posted 5 days ago,2 applicants,,Associate,Full-time,"['Other', 'Information Technology', 'Management']",Electrical & Electronic Manufacturing
1377,Lowongan iOS Engineer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1378,Senior IT Specialist,PT. Rich Products Indonesia,Posted 2 weeks ago,231 applicants,,Mid-Senior level,Full-time,"['Information Technology', 'Manufacturing']","['Food Production', 'Food & Beverages']"
1379,Back End Java Developer - Genie,ADVANCE.AI,Posted 1 month ago,1 applicant,,Associate,Full-time,"['Information Technology', 'Engineering']","['Information Technology & Services', 'Computer Software', 'Internet']"
1380,Head of Customer Experience,Rata,Posted 1 month ago,177 applicants,,Director,Full-time,"['Business Development', 'Sales']","['Marketing & Advertising', 'Retail', 'Hospital & Health Care']"
1381,Lowongan Digital Marketing Optimizer,PT Nityo Infotech,Posted 5 days ago,0 applicants,,Entry level,Full-time,"['Marketing', 'Sales']",Information Technology & Services
1382,Account Executive B2B,Ninja Van,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Sales', 'Business Development']",Logistics & Supply Chain
1383,Lowongan Business Development (Karawang),Pt Bluepay Digital International,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Business Development', 'Sales']",Consumer Goods
1384,Sr. ETL Developer,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,Posted 1 month ago,5 applicants,,Associate,Full-time,"['Business Development', 'Sales']","['Information Technology & Services', 'Computer Software', 'Telecommunications']"
1385,Field Sales Planning Manager,Ninja Van,Posted 5 days ago,1 applicant,,Associate,Full-time,"['Management', 'Manufacturing']",Logistics & Supply Chain
1386,accounting,Pt Dhiya Maharani Couture,Posted 9 hours ago,5 applicants,,,Full-time,"['Accounting/Auditing', 'Finance']",Apparel & Fashion
1387,Product Manager,Pintek,Posted 1 week ago,4 applicants,,Entry level,Full-time,"['Product Management', 'Marketing']","['Marketing & Advertising', 'Banking', 'Financial Services']"
1388,Lowongan Account Manager (Enterprise),Pt Jac Indonesia,Posted 3 days ago,0 applicants,,Entry level,Full-time,"['Sales', 'Business Development']",Hospitality
1389,Lowongan Android Engineer,PT Nityo Infotech,Posted 5 days ago,2 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Information Technology & Services
1390,Senior Integrations Developer - APAC Region,Agiloft,Posted 1 month ago,0 applicants,,,,,
1391,Lowongan Customer Relationship Management,PT Mitracomm Ekasarana,Posted 6 days ago,10 applicants,,,,,
1392,Senior Forestry Specialist,Hatfield Consultants,Posted 5 days ago,7 applicants,,Associate,Full-time,Other,Marketing & Advertising
1393,SAP BW Consultant,Accenture,Posted 5 days ago,1 applicant,,Associate,Full-time,Information Technology,Warehousing
1394,Finance Reporting Analytics Senior Manager - CVS Health,CVS Health,Posted 1 month ago,0 applicants,,Mid-Senior level,Full-time,"['Accounting/Auditing', 'Finance']","['Insurance', 'Financial Services', 'Hospital & Health Care']"
1395,Head of Marketing,Rata,Posted 1 month ago,220 applicants,,Director,Full-time,"['Marketing', 'Sales']","['Marketing & Advertising', 'Retail', 'Hospital & Health Care']"
1396,"Commercial Finance Business Partner, Logistics & Services",Maersk,Posted 5 days ago,3 applicants,,Mid-Senior level,Full-time,"['Finance', 'Sales']",Logistics & Supply Chain
1397,Business Development,Pt. Renjana Membangun Nusantara,Posted 1 month ago,26 applicants,,Associate,Full-time,Business Development,Civic & Social Organization
1398,Cyber Security Sales Specialist - Jakarta,NTT Ltd.,Posted 19 hours ago,1 applicant,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
1399,"HEAD OF GROWTH SEO, CLV, CRM",Lamudi,Posted 5 days ago,1 applicant,,Director,Full-time,Other,Marketing & Advertising
1400,IT PROJECT MANAGER,Abeam Lightstream Analytics,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Project Management', 'Information Technology']",Warehousing
1401,Client Success Manager,Glints Indonesia,Posted 1 week ago,7 applicants,,Mid-Senior level,Full-time,Business Development,Human Resources
1402,Services Architect,NTT Ltd.,Posted 19 hours ago,0 applicants,,Associate,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
1403,Information Technology (IT) Manager,Plan International,Posted 5 days ago,14 applicants,,Associate,Full-time,Information Technology,Logistics & Supply Chain
1404,Digital Planning Manager - Setiabudi,Starcom,Posted 1 month ago,0 applicants,,Associate,Full-time,"['Management', 'Manufacturing']","['Marketing & Advertising', 'Online Media', 'Internet']"
1405,Growth Marketing Strategist,Darshana Design Studio,Posted 5 days ago,0 applicants,,Associate,Full-time,"['Marketing', 'Sales']",Marketing & Advertising
1406,Infra DevOpS Lead,PT Lawencon Internasional,Posted 2 weeks ago,1 applicant,,Mid-Senior level,Full-time,Other,"['Information Technology & Services', 'Computer Software', 'Internet']"
1407,"Enterprise Account Manager, FSI / Commercial Accounts, Indonesia",iZeno,Posted 1 month ago,7 applicants,,Associate,Full-time,"['Sales', 'Business Development']",Information Technology & Services
